product_name,brand,product_url,product_type,ingredients,price,contents
Acorelle Pure Harvest Body Perfume - 100ml,Acorelle,https://www.lookfantastic.com/acorelle-pure-harvest-body-perfume-100ml/11577065.html,Mist,"Alcohol, Aqua, Glycerin, Fragrance, Limonene, Linalool.",10,100ml
Aesop Parsley Seed Anti-Oxidant Eye Cream 10ml,Aesop,https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-cream-10ml/10366954.html,Eye Care,"Aloe Barbadensis Leaf Juice, Water, PEG-60 Almond Glycerides, Hamamelis Virginiana (Witch Hazel) Water, Magnesium Ascorbly Phosphate, PEG-150 Distearate, Benzyl Alcohol, Clycine Soja Sorbitol, Polysorbate 20, Panthenol, Linalool, Disodium EDTA, Camellia, Sinensis Leaf Extracts, Omenis Multicaulis Oil, Benzalkonium Chloride, Chamomilla Recutita (Matricaria) Flower Oil, Methylisothiazolinoe, Carum Petroselinum (Parsley) Seed Oil, Dancus Carota Sativa (Carrot) Root Extract, d-Limonene, Beta-Carotene, Tocopherol.",63,10ml
Aesop Parsley Seed Anti-Oxidant Eye Serum 15ml,Aesop,https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-serum-15ml/10363561.html,Eye Care,"Aloe Babedensis Lead Juice, Water (Aqua), PEG 60 Almond Glycerides, Sodium Lactate, Hammelis Virginiana (Witch Hazel) Distilate, Magnesium Ascorbyl Phosphate PEG-150 Distearate, Benzyl Alcohol. Glycine Soja (Soybean) Oil. Lavendula Angustifiolia (Lavender) Oil, Phenoxyethanol, Sorbitol, Polysorbate 20, Panthenol. Disodium EDTA, Camellia Sinensis Leaf Extract, Ormenis Multicaulis Oil, Benzalkonium Chloride, Chamomilia Recutita (Matricaria) Flower Oil, Methylisothiazolinone, Carum Petroslinum (Parsley) Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Beta-Carotene, Tocopherol, Linalool, d-Limonene.",57,15ml
Aesop Amazing Face Cleanser 200ml,Aesop,https://www.lookfantastic.com/aesop-amazing-face-cleanser-200ml/10366097.html,Cleanser,"Water, Cocamidopropyl Belaine, Sea Salt, Glycerine, Tangerine Oil, Lavender Oil, Cananga Odorata Flower Oil, Magnesium Nitrate, Magnesium Chloride, Sodium Laureth Sulphate, Polysorbate 20, Methylchlorisisothiazolinone, Methylisothiazolinone.",35,200ml
Aesop Animal Body Wash 500ml,Aesop,https://www.lookfantastic.com/aesop-animal-body-wash-500ml/12044867.html,Body Wash,"Water (Aqua), Sodium Laureth Sulfate, Propylene Glycol, Coco-Betaine, Sea Salt (Maris sal), Cocamide MIPA, Citrus Medica Limonum (Lemon) Peel Oil, Phenoxyethanol, Melaleuca Alternifolia (Tea Tree) Leaf Oil, PEG-40 Hydrogenated Castor Oil, Sodium Citrate, Mentha Viridis (Spearmint) Leaf Oil, Citric Acid, Ethylhexylglycerin, Magnesium Nitrate, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone, d-Limonene.",27,500ml
Aesop Chamomile Concentrate Anti-Blemish Mask 60ml,Aesop,https://www.lookfantastic.com/aesop-chamomile-concentrate-anti-blemish-mask-60ml/10366573.html,Mask,"Water (Aqua), Kaolin, Bentonite, Alcohol Denat., Glycerin, Oenothera Biennis (Evening Primrose) Oil, Rosa Canina Fruit Oil, Phenoxyethanol, Citrus Medica Limonum (Lemon) Peel Oil, Ormenis Multicaulis Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Salvia Officinalis (Sage) Oil, Leptospermum Petersonii Oil, Methylchloroisothiazolinone, Methylisothiazolinone, d-Limonene.",31,60ml
AHAVA Purifying Mud Mask 100ml,AHAVA,https://www.lookfantastic.com/ahava-purifying-mud-mask-100ml/11286067.html,Mask,"Kaolin, Silt (Dead Sea Mud), Aqua (Mineral Spring Water), Cocamide MEA, DMDM Hydantoin, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Propanediol (Corn derived Glycol), Glyceryl Stearate, Ethylhexyl Palmitate, Aloe Barbadensis Leaf Extract, Propylene Glycol, Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Ceteareth-30, Cetearyl Alcohol, Maris Sal (Dead Sea Water), Sodium Lactate, Zinc Oxide, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Panthenol (Pro Vitamin B5), Chamomilla Recutita (Matricaria) Flower Oil, Stearyl Alcohol, Magnesium Aluminum Silicate, Hydroxyethylcellulose, Peg-40 Stearate, Allantoin, Lactic Acid, Dimethicone, Sorbitan Tristearate, Xanthan Gum, PEG-5 Cocoate, PEG-8 Dicocoate, PEG-9, Iodopropynyl Butylcarbamate, Triclosan, Methylisothiazolinone, BHA, Tocopherol (Vitamin E).",28.99,100ml
AHAVA Liquid Dead Sea Salt 200ml,AHAVA,https://www.lookfantastic.com/ahava-liquid-dead-sea-salt-200ml/11286026.html,Bath Salts,"Maris Aqua (Dead Sea Water), Aqua (Mineral Spring Water), Polysorbate-20, Peg-7 Glyceryl Cocoate, Hydroxyethylcellulose, PVP, Citrus Grandis (Grapefruit) Peel Oil, Tocopheryl (Vitamin E) Acetate, Dunaliella Salina (Dead Sea Alga) Extract & Hydrogenated Polydecene, Arginine.",19.99,200ml
AHAVA Natural Dead Sea Bath Salts,AHAVA,https://www.lookfantastic.com/ahava-natural-dead-sea-bath-salts/11293891.html,Bath Salts,100% Dead Sea Salt.,6.49,240g
AHAVA Single Use 24K Gold Mineral Mud Mask 6ml,AHAVA,https://www.lookfantastic.com/ahava-single-use-24k-gold-mineral-mud-mask-6ml/12054138.html,Mask,"Aqua (Mineral Spring Water), Glycerin, Propanediol (Corn derived Glycol), Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone, Caprylyl Methicone, Calcium Aluminum Borosilicate, Isostearyl Isostearate, Aloe Barbadensis Leaf Juice, Squalene (Phytosqualene), PVP, Niacinamide, Titanium Dioxide (CI 77891), Silica, Mica, PEG-12 Dimethicone/PPG-20 Crosspolymer, Iron Oxides (CI 77491), Caprylyl Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Tin Oxide, Ethyl Lauroyl Arginate HCl, Phenoxyethanol, Saccharide Isomerate, Sorbic Acid, Chlorphenesin, Biosaccharide Gum-1, Parfum (Fragrance), Allantoin, Silt (Dead Sea Mud), Sodium Citrate, Maris Aqua (Dead Sea Water), Dunaliella Salina Extract, Hydrogenated Polydecene, Methylsilanol Mannuronate, Phoenix Dactylifera (Date) Fruit Extract, Lactic Acid, Citric Acid, Maris Sal (Dead Sea Salt), Gold (CI 77480), Hexyl Cinnamal, Benzyl Salicylate, Butylphenyl Methylpropional.",2.36,6ml
